Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber

# DEMPSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

# LOW AMMO
vox_plr_0_ammo_low_0,,streamed,zombie\vox\scripted\zm_factory\vox_der_plr_0_ammo_low_0.wav,,,UIN_MOD,,,,,BUS_VOICE,grp_voice,snp_voice,,,,95,95,70,700,750,,,,,1,reject,,,1,1,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_plr_0_ammo_low_1,,streamed,zombie\vox\scripted\zm_factory\vox_der_plr_0_ammo_low_1.wav,,,UIN_MOD,,,,,BUS_VOICE,grp_voice,snp_voice,,,,95,95,70,700,750,,,,,1,reject,,,1,1,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_plr_0_ammo_low_2,,streamed,zombie\vox\scripted\zm_factory\vox_der_plr_0_ammo_low_2.wav,,,UIN_MOD,,,,,BUS_VOICE,grp_voice,snp_voice,,,,95,95,70,700,750,,,,,1,reject,,,1,1,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_plr_0_ammo_low_3,,streamed,zombie\vox\scripted\zm_factory\vox_der_plr_0_ammo_low_3.wav,,,UIN_MOD,,,,,BUS_VOICE,grp_voice,snp_voice,,,,95,95,70,700,750,,,,,1,reject,,,1,1,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_plr_0_ammo_low_4,,streamed,zombie\vox\scripted\zm_factory\vox_der_plr_0_ammo_low_4.wav,,,UIN_MOD,,,,,BUS_VOICE,grp_voice,snp_voice,,,,95,95,70,700,750,,,,,1,reject,,,1,1,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_plr_0_ammo_low_5,,streamed,zombie\vox\scripted\zm_factory\vox_der_plr_0_ammo_low_5.wav,,,UIN_MOD,,,,,BUS_VOICE,grp_voice,snp_voice,,,,95,95,70,700,750,,,,,1,reject,,,1,1,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
